name,surname,level
Mark,Davis,intermediate
Scott,Martinez,beginner
Daniel,Simpson,expert
Annette,Wang,beginner
Pamela,Diaz,expert
Adam,Swanson,expert
Nathaniel,Wade,intermediate
Heather,Anderson,expert
Christina,Mendez,beginner
Lauren,Mcmillan,intermediate
Jordan,Greer,expert
Susan,Logan,expert
Christopher,Wood,intermediate
Sarah,Campos,expert
William,Garcia,beginner
Alex,Smith,intermediate
Michael,Small,expert
Joseph,Brown,expert
Steve,Espinoza,expert
Erin,Moody,expert
James,Pope,intermediate
Kristy,Schroeder,beginner
Lori,Thomas,expert
Nicholas,Rodriguez,beginner
David,Rivera,intermediate
Diamond,Lane,beginner
Garrett,James,intermediate
Jose,Wilcox,beginner
Alicia,Henderson,expert
Luis,Green,expert
Cheyenne,Harris,intermediate
Jennifer,Martinez,expert
Alice,Arnold,intermediate
Vanessa,Kelly,beginner
Angela,Conley,intermediate
Amanda,Donovan,expert
Anthony,Leblanc,intermediate
Barbara,Garcia,beginner
John,Roman,beginner
Dustin,Moore,beginner
Stephanie,Brennan,expert
Wayne,Chan,expert
Jason,Peterson,beginner
Shelley,Stewart,beginner
Bryan,Alvarez,intermediate
Bethany,Johnson,expert
Hannah,Wiggins,intermediate
Peter,Harris,intermediate
Hannah,Orr,intermediate
Natasha,Hill,beginner
Charles,Brown,intermediate
Kara,Butler,intermediate
George,Miller,beginner
Devin,Scott,expert
Julie,James,beginner
Sergio,Coleman,intermediate
Kenneth,Montgomery,intermediate
Daniel,Barnett,intermediate
Mikayla,Francis,intermediate
Caitlin,Shepard,beginner
James,Williams,beginner
Jeremy,Miller,expert
Brandon,Miller,expert
Natalie,Bond,beginner
Teresa,Perez,intermediate
Danielle,Hicks,expert
Sara,Ford,intermediate
Christopher,Wong,intermediate
Carrie,Dixon,expert
Christine,Holmes,expert
Stephen,Cameron,expert
Sarah,Galloway,expert
Karen,Rice,expert
Alexandra,Brown,beginner
Elizabeth,Fletcher,expert
James,Rice,beginner
Robert,Garcia,beginner
Patricia,Mccarty,intermediate
Robert,King,intermediate
Jeremiah,Vang,beginner
Linda,Mason,beginner
Heather,Davis,beginner
Brian,Weber,expert
Sabrina,Scott,intermediate
Joshua,Page,intermediate
Tammy,Stevens,expert
William,Marshall,expert
Sara,White,intermediate
Nancy,Price,intermediate
James,Frazier,beginner
Joy,Roy,expert
Roger,Ross,beginner
Natalie,Newman,intermediate
Elizabeth,Sanders,intermediate
Joann,Odom,expert
Ryan,Dougherty,expert
Cynthia,Peck,beginner
Andrew,Chavez,beginner
Katrina,Sherman,expert
Rachel,Alvarez,expert
Kristina,Shaw,expert
Matthew,Newman,beginner
Joshua,Ward,expert
Martin,Francis,intermediate
Beth,Hill,expert
Leah,Martinez,expert
Desiree,Welch,intermediate
Emma,Perez,expert
Eric,Brown,intermediate
Jade,Mosley,expert
James,Benitez,intermediate
Heather,Bridges,intermediate
Daniel,Clark,beginner
Christopher,Burnett,beginner
Patrick,Edwards,expert
John,Taylor,expert
Monica,Myers,beginner
Dennis,Gonzalez,intermediate
Connie,Stevens,intermediate
Carol,Barrett,expert
Gregory,Ballard,intermediate
Daniel,Warren,intermediate
Erik,Phillips,expert
Anna,Howard,expert
James,Farmer,intermediate
David,Lopez,intermediate
Valerie,Calderon,beginner
Joseph,Stevens,expert
Rebecca,Collier,intermediate
Brian,Floyd,beginner
Felicia,Wolfe,beginner
Paula,Byrd,intermediate
David,Johnson,expert
Kimberly,Gillespie,beginner
Brittany,Howard,beginner
Michelle,Peters,expert
Crystal,Smith,intermediate
Lori,Frazier,expert
Kayla,Macdonald,intermediate
Regina,Palmer,intermediate
Nathan,Williams,expert
Connie,Nguyen,beginner
Angela,White,intermediate
Tanner,Wilkins,beginner
Katherine,Pena,expert
Susan,Harris,intermediate
Michelle,Atkins,beginner
Robert,Blake,expert
Catherine,Chung,beginner
Michelle,Arias,beginner
Benjamin,Zimmerman,intermediate
Jennifer,Campbell,intermediate
Michael,Brennan,intermediate
Jared,Jimenez,intermediate
Lori,Nguyen,beginner
Lori,Henry,intermediate
Kristen,Newton,beginner
Aaron,Cowan,beginner
Brenda,Brown,expert
William,Adams,intermediate
Joel,Guzman,beginner
Aaron,Gaines,expert
Jennifer,Foster,beginner
Joshua,White,intermediate
Michael,Perkins,intermediate
Anthony,Day,intermediate
Mark,Mack,expert
Jason,Navarro,beginner
Kenneth,Brown,beginner
Tracy,Castro,expert
Andrew,Miller,expert
Steven,Price,beginner
Nicole,Gonzalez,expert
Amanda,Black,beginner
Angela,Jacobs,beginner
Michael,Bernard,beginner
Michelle,Erickson,intermediate
Angel,Blackburn,expert
Penny,Coleman,beginner
Gina,King,expert
Brandon,English,expert
Logan,Jones,beginner
Jessica,Santiago,beginner
Julie,Snyder,beginner
Jill,Young,intermediate
Amanda,Steele,beginner
Anthony,Jennings,intermediate
Edgar,Ramos,expert
Kevin,Ballard,intermediate
Megan,Wilson,intermediate
Kristin,Reilly,intermediate
Nicholas,Clarke,intermediate
Vernon,Mayer,intermediate
David,Thompson,intermediate
Stephanie,Johnson,beginner
Brandy,Wong,intermediate
Tim,Brown,beginner
Tracy,Massey,intermediate
Shane,Mitchell,intermediate
Scott,Mitchell,beginner
Philip,Brown,beginner
Felicia,Henson,expert
Anna,Robertson,intermediate
Wanda,Cole,beginner
Debra,Chen,intermediate
Robert,Knapp,expert
Kristen,Phillips,expert
Richard,Craig,beginner
Christine,Garrett,intermediate
Adam,Lewis,intermediate
Michelle,Santiago,intermediate
Christopher,Farrell,intermediate
Paul,Brown,intermediate
James,Christensen,beginner
Lisa,Baker,beginner
Joshua,Campbell,expert
Samuel,Sullivan,expert
Kimberly,White,beginner
Ashley,Nichols,expert
Ashley,Franklin,beginner
James,Barnes,beginner
Amanda,Baldwin,intermediate
Michael,Harris,intermediate
Rickey,Gutierrez,expert
Thomas,Vega,intermediate
Andrew,Richardson,expert
Brenda,Horton,intermediate
John,Shelton,expert
James,Lambert,expert
Ryan,Duncan,beginner
Patricia,Moore,expert
Tina,Wright,expert
Maria,Richards,beginner
Keith,Saunders,intermediate
Eddie,Hughes,intermediate
Danielle,Combs,intermediate
Christine,Gomez,expert
Susan,Craig,intermediate
Jacob,Stone,beginner
Vanessa,Brown,expert
Michael,Woodard,beginner
Elizabeth,Jones,expert
Holly,Zimmerman,intermediate
Logan,Stevens,expert
Nancy,Jones,expert
Whitney,Brown,beginner
Jeffrey,Jenkins,beginner
Amanda,Kemp,expert
Courtney,Montgomery,intermediate
Karen,Warren,beginner
Caroline,Mcdaniel,expert
Angela,Randolph,expert
Rodney,Nichols,intermediate
Eric,Nelson,intermediate
Anthony,Mejia,beginner
Emily,Ingram,expert
Glenn,Wiggins,expert
Stephanie,Moore,intermediate
Keith,House,expert
Gwendolyn,Hopkins,intermediate
Antonio,Smith,expert
David,Parker,intermediate
Andrew,Mccarthy,intermediate
Heather,Murray,expert
Amanda,Woodward,intermediate
Vincent,Hall,expert
Katherine,Nolan,beginner
Cory,Pierce,beginner
Chad,Holmes,beginner
Carrie,Mckee,intermediate
Austin,Monroe,intermediate
Justin,Bryant,intermediate
Julia,Boyd,beginner
Karen,Blackburn,intermediate
Donald,Morris,beginner
Melissa,Brown,expert
Erika,Hart,beginner
Jeremy,Ferguson,expert
Randy,Haley,expert
Wesley,Little,expert
Joseph,Quinn,intermediate
Wendy,Lewis,intermediate
Justin,Bennett,expert
Jose,Jones,intermediate
John,Pacheco,intermediate
John,Johnson,intermediate
Heather,Marshall,expert
David,Walker,beginner
Michael,Jacobs,intermediate
Aaron,Mercado,beginner
Jeffery,Spencer,beginner
Alicia,Reynolds,intermediate
Mary,Wade,intermediate
Alejandro,Wells,intermediate
Alicia,Rowe,intermediate
Carol,Leonard,expert
Diana,Hartman,intermediate
Melanie,Oneal,beginner
Brendan,Reed,beginner
Michael,Robinson,expert
Nicholas,Faulkner,beginner
Anne,Barajas,beginner
Paul,Le,intermediate
Alan,Fritz,intermediate
David,Johnson,beginner
Zoe,Gonzales,beginner
Christian,Sanchez,intermediate
Elijah,Guerra,beginner
Heather,Pratt,intermediate
Matthew,Smith,expert
Anthony,Ingram,beginner
Isaac,Barton,intermediate
Rachel,Daniels,expert
Katherine,Garcia,intermediate
Matthew,Sanchez,intermediate
Sierra,Campos,expert
Alyssa,Campos,intermediate
Troy,Clark,intermediate
Christopher,Hoffman,intermediate
Joseph,Jones,expert
Amber,Sanchez,expert
Courtney,Brown,beginner
Caleb,Russell,intermediate
Robert,Hamilton,beginner
Phillip,Ross,expert
Matthew,Gonzalez,intermediate
Bonnie,Gutierrez,intermediate
David,Young,expert
John,Nicholson,beginner
Andrew,Boone,expert
Shannon,Dixon,beginner
Alyssa,Nielsen,beginner
Amanda,Cisneros,expert
Kenneth,Brooks,intermediate
Stephanie,Stewart,intermediate
John,Callahan,beginner
Brandon,Bennett,expert
Jason,Ferrell,expert
Barbara,Stewart,beginner
Alexandra,Arnold,intermediate
Kimberly,Brown,beginner
Elizabeth,Decker,intermediate
Alexander,Johnson,beginner
Kirsten,Morales,intermediate
Amanda,Diaz,expert
Christopher,Allen,intermediate
David,Brown,expert
Sherri,Blair,intermediate
Michael,Aguirre,intermediate
Anna,Brown,intermediate
Dennis,Ramsey,intermediate
Charles,Walker,intermediate
Matthew,Wilson,expert
Brooke,Ross,beginner
Sherry,Li,beginner
Candace,Williams,expert
Angela,Taylor,expert
Jeremy,Wallace,intermediate
Sergio,Green,intermediate
Matthew,Reynolds,intermediate
Jared,Turner,intermediate
Bill,Smith,beginner
Barbara,Brown,expert
Bradley,Fischer,expert
Stanley,Miller,intermediate
Emily,Flores,intermediate
Elizabeth,Reed,intermediate
Donna,Dawson,intermediate
Christopher,Lewis,expert
Cody,Goodwin,expert
Heather,Hernandez,beginner
Steven,Perez,expert
Charlotte,Dickerson,intermediate
Stephen,Palmer,intermediate
Charles,Crawford,expert
Megan,Fletcher,expert
Tyrone,Logan,intermediate
Melissa,Williams,beginner
Richard,Moore,beginner
Rebecca,Bennett,expert
Julie,Miller,beginner
Philip,Curry,beginner
Ronald,Coleman,intermediate
Colin,Buchanan,expert
Ronald,Briggs,expert
Kenneth,Wright,beginner
Rachel,Marshall,beginner
Alexander,Hartman,expert
Amy,Bonilla,beginner
Dawn,Jackson,intermediate
William,Cole,expert
Darryl,White,expert
Russell,Stephens,beginner
Bonnie,Wright,expert
Alexandra,Wilcox,expert
Stephanie,Holmes,expert
Nathan,Wilson,expert
Robert,Dalton,beginner
Jason,Blake,expert
Katrina,Washington,expert
Joshua,Green,intermediate
Heather,Arroyo,intermediate
Xavier,Hurley,intermediate
Mark,Martin,beginner
Curtis,Collins,intermediate
Kevin,Williams,beginner
Christine,Mcpherson,expert
Lisa,Klein,expert
Zachary,Barton,beginner
Michelle,Garner,beginner
Eric,Ramos,expert
Susan,Barton,expert
Russell,Bradshaw,expert
Larry,Holmes,beginner
Brandon,Gomez,intermediate
Melinda,Erickson,beginner
Kenneth,Benjamin,intermediate
Susan,Ward,intermediate
Sherry,Williams,beginner
Tammy,Wilson,beginner
Catherine,Hall,beginner
Amy,Lang,expert
Stacey,Yates,beginner
Kristopher,Yu,beginner
John,Oconnor,intermediate
Angela,Dixon,intermediate
Timothy,Oneill,intermediate
Gregory,Banks,intermediate
Timothy,Sanchez,expert
Rose,Gallagher,intermediate
Brian,Thompson,expert
Jack,Hudson,beginner
Brandon,Beck,intermediate
Matthew,Rose,expert
Roberta,Miller,expert
Gary,Jones,intermediate
Natasha,Carroll,expert
Charles,Harris,intermediate
Kathryn,Gordon,expert
Cheryl,Stewart,expert
Angela,Powell,beginner
Sandra,Mooney,expert
Gregory,Randall,expert
Dennis,Steele,intermediate
James,Doyle,expert
Earl,Brown,expert
Kathy,Mitchell,intermediate
Seth,Wright,beginner
Brianna,Knox,expert
Amber,Mcgee,beginner
Bobby,Kramer,intermediate
John,Clark,expert
Mary,Fry,expert
Emily,Martin,beginner
Harold,Brown,intermediate
Samuel,Santiago,beginner
Christopher,Sanders,beginner
Nicole,Matthews,beginner
Sarah,Kelly,intermediate
Juan,Ross,intermediate
Jennifer,Williams,intermediate
Bruce,Abbott,beginner
Adriana,Foley,beginner
James,Lucas,beginner
Rebecca,Smith,intermediate
Mary,Moore,intermediate
Erin,Ramos,intermediate
Kari,White,beginner
Mary,Shepard,beginner
Diane,Boyd,intermediate
Jessica,Phillips,expert
Ashley,Schwartz,intermediate
Henry,Anderson,beginner
Todd,Morgan,expert
Lauren,Costa,expert
Mary,Hall,expert
Michael,Johnston,beginner
Denise,Wilkinson,expert
Regina,Alexander,beginner
Elizabeth,Hobbs,expert
Darlene,Noble,intermediate
Christopher,Hart,beginner
Miranda,Massey,expert
Amy,Jones,beginner
Michael,Manning,intermediate
Mary,Hubbard,beginner
Anthony,White,expert
John,Moore,intermediate
Deborah,Rosales,expert
Jesse,Fox,beginner
Kelsey,Gutierrez,expert
Paul,May,beginner
Stacy,Sanchez,intermediate
Gabriella,Gomez,expert
Amy,Parker,expert
Rebecca,Mayo,beginner
Curtis,Vincent,intermediate
Melanie,Webster,beginner
John,Hanna,expert
Mary,Campos,expert
Tyler,Mcknight,expert
Robert,Guzman,intermediate
Frank,Matthews,expert
Christopher,Arroyo,expert
Veronica,Wilkinson,expert
Nicole,Reynolds,intermediate
Ian,Sweeney,beginner
Samantha,Young,beginner
David,Beasley,expert
Gregory,Rodriguez,intermediate
Raymond,Miller,expert
Sheila,Ballard,intermediate
Emily,Ramirez,expert
Tiffany,Ramos,beginner
Laurie,Mcdonald,intermediate
Dawn,Taylor,beginner
Margaret,Williams,beginner
Jacqueline,Meyer,intermediate
Laura,Leach,expert
John,Davis,intermediate
Laura,Cohen,expert
Katherine,Jones,intermediate
Nancy,Jackson,expert
Michael,Curry,expert
Rodney,Miller,intermediate
Henry,Lewis,intermediate
Shawn,Mooney,beginner
Kevin,Bryant,intermediate
Jeffrey,Newman,expert
Xavier,Brennan,beginner
Carrie,Cooper,beginner
Joseph,Buck,beginner
Ryan,Ibarra,expert
Brianna,Jackson,intermediate
Sue,Gibson,expert
Thomas,Sanchez,intermediate
Mariah,Santiago,intermediate
Andrew,Johnson,intermediate
Nicholas,Walker,expert
Kelly,Johnson,beginner
Dana,Smith,expert
Tara,Carrillo,expert
Frank,Rich,beginner
Robert,Garrett,expert
Bryan,Mcfarland,expert
James,Foster,expert
Grace,Watts,intermediate
Chad,King,beginner
Mary,Harris,expert
Luis,Clark,expert
Erika,Martin,expert
Bradley,Doyle,beginner
Nicholas,Smith,expert
Nathan,Flores,intermediate
Jessica,Garcia,expert
Amanda,Morgan,intermediate
Jason,Hall,expert
Elizabeth,Crosby,intermediate
Russell,Norman,expert
Kelly,Ryan,intermediate
Tracie,Robbins,beginner
Elizabeth,Schmidt,beginner
Michelle,Miller,expert
Kayla,Wells,intermediate
Kimberly,Martinez,beginner
Sharon,Brown,intermediate
William,Todd,intermediate
Nathaniel,Barnes,expert
Ebony,Brady,intermediate
William,Bell,expert
Tara,Hernandez,beginner
James,Price,expert
Brianna,Christian,intermediate
Megan,Tran,beginner
Jeffrey,Peterson,expert
Faith,Lucas,expert
Peter,Hull,beginner
Melissa,Saunders,beginner
Andrew,Boyd,beginner
Peter,Key,intermediate
James,Quinn,expert
Dennis,Romero,expert
Nathan,Sullivan,intermediate
Tristan,Smith,beginner
Thomas,Castillo,intermediate
Brandon,Hill,beginner
Jerry,Spencer,intermediate
Tyler,Stephenson,intermediate
Taylor,Dickerson,expert
Brandon,Thompson,beginner
Gerald,Wilson,beginner
Roger,Lowe,intermediate
Kyle,Mendoza,intermediate
Jessica,Lee,beginner
Mark,Day,beginner
Jessica,Shelton,intermediate
Wayne,Collins,beginner
Cheryl,Moore,expert
Timothy,Kennedy,intermediate
Alexis,Allen,expert
Mark,Martinez,beginner
David,Wagner,expert
Matthew,Mayer,expert
Kevin,Diaz,expert
Kyle,Williams,expert
